Date,Open,High,Low,Close,Volume
2001-02-07,40.85,41.75,40.0,41.6,2226700
2001-02-08,41.0,42.65,41.0,42.6,2960500
2001-02-09,43.25,43.55,42.28,42.99,2695400
2001-02-12,43.24,44.05,42.95,43.98,2550500
2001-02-13,45.0,45.72,44.76,45.08,3934900
2001-02-14,44.7,45.2,44.65,45.15,3060700
2001-02-15,45.15,45.15,43.53,44.39,2382000
2001-02-16,44.01,44.35,43.18,43.4,1787500
2001-02-20,44.5,44.5,41.99,42.26,2491000
2001-02-21,42.5,42.8,41.48,41.65,2090900
2001-02-22,42.25,42.5,41.14,41.79,2072400
2001-02-23,41.3,42.1,41.0,41.69,2296000
2001-02-26,41.95,42.5,41.8,41.94,1486600
2001-02-27,41.9,42.4,40.75,40.99,1946200
2001-02-28,40.95,41.7,40.0,41.7,2317400
2001-03-01,42.45,43.3,42.31,43.23,3510100
2001-03-02,43.25,44.5,43.22,44.25,2183300
2001-03-05,44.28,45.3,44.0,44.97,1499000
2001-03-06,44.8,45.2,44.26,44.5,2284000
2001-03-07,44.35,45.75,44.25,45.75,1961800
2001-03-08,46.1,46.2,45.2,45.9,2255700
2001-03-09,46.1,46.44,45.0,45.01,2308000
2001-03-12,44.8,44.82,43.2,43.2,1709900
2001-03-13,43.0,43.4,42.14,43.05,1907400
2001-03-14,42.0,42.74,41.15,41.8,1792200
2001-03-15,42.0,43.31,41.9,43.25,2087300
2001-03-16,42.25,43.23,42.0,42.19,2272700
2001-03-19,42.19,42.8,42.15,42.44,1178500
2001-03-20,42.65,44.35,42.26,43.48,2093800
2001-03-21,43.49,43.65,41.3,41.44,2768000
2001-03-22,39.5,40.2,36.5,38.2,3596700
2001-03-23,39.05,40.9,39.05,40.39,2337300
2001-03-26,40.75,41.45,40.65,41.05,1503500
2001-03-27,41.75,43.0,41.52,43.0,1968800
2001-03-28,43.0,43.0,41.0,41.85,1764400
2001-03-29,41.35,41.4,40.0,41.0,2341800
2001-03-30,41.0,43.15,41.0,42.85,2221900
2001-04-02,43.75,44.17,42.0,43.55,2545300
2001-04-03,43.9,44.12,39.48,40.15,4125400
2001-04-04,40.0,40.95,39.5,40.26,2688000
2001-04-05,40.75,42.38,40.6,41.86,2194500
2001-04-06,42.0,42.11,39.0,40.79,2452400
2001-04-09,40.7,42.27,40.7,41.0,2171900
2001-04-10,41.3,43.05,41.3,42.9,2082700
2001-04-11,42.9,43.2,42.4,42.89,1403800
2001-04-12,42.75,43.24,42.25,42.7,947600
2001-04-16,42.85,43.38,42.5,43.34,1235300
2001-04-17,43.1,43.5,42.9,43.35,1710000
2001-04-18,43.35,43.59,42.33,42.8,2463500
2001-04-19,42.65,42.89,41.4,41.75,2618000
2001-04-20,42.0,42.19,40.9,41.15,2405300
2001-04-23,42.1,42.15,41.25,42.1,1911800
2001-04-24,39.75,40.54,38.99,39.85,2896700
2001-04-25,39.85,40.68,39.65,40.3,2167600
2001-04-26,41.5,42.75,41.4,42.75,3664600
2001-04-27,43.0,43.45,42.65,43.45,2826000
2001-04-30,43.3,43.71,42.08,42.17,1626800
2001-05-01,42.7,43.54,42.44,43.38,1793100
2001-05-02,42.6,42.61,40.1,40.26,2828200
2001-05-03,40.26,40.89,39.52,40.66,1429900
2001-05-04,40.66,41.84,40.43,41.67,1027400
2001-05-07,38.0,39.6,37.81,39.28,11677800
2001-05-08,39.03,39.59,38.52,39.54,3395100
2001-05-09,39.75,40.36,39.63,40.36,2659900
2001-05-10,41.5,41.5,40.42,40.85,2722700
2001-05-11,40.5,40.69,39.99,40.23,1939800
2001-05-14,40.23,40.55,39.8,40.19,1412200
2001-05-15,40.49,40.65,40.0,40.08,1789600
2001-05-16,40.24,40.92,39.85,40.45,2040600
2001-05-17,39.6,40.93,39.55,40.51,1918100
2001-05-18,40.71,41.83,40.55,41.76,2606800
2001-05-21,42.0,42.2,41.5,42.14,2628700
2001-05-22,42.45,42.45,41.3,41.65,2166900
2001-05-23,42.0,43.0,41.5,41.88,2460700
2001-05-24,41.88,42.15,41.73,42.11,1977100
2001-05-25,42.11,42.11,41.0,41.3,1978700
2001-05-29,41.15,41.29,39.61,40.06,2761900
2001-05-30,39.75,40.32,39.27,39.35,2535600
2001-05-31,39.5,39.62,39.15,39.4,2924300
2001-06-01,38.6,39.07,38.58,39.05,2913100
2001-06-04,39.1,39.45,38.9,39.2,1668600
2001-06-05,39.15,39.23,37.75,38.2,4078100
2001-06-06,37.8,37.93,35.6,37.0,5126100
2001-06-07,37.01,37.2,36.25,36.86,2393400
2001-06-08,36.8,38.07,36.6,37.66,2117800
2001-06-11,37.53,38.01,37.4,37.94,3334000
2001-06-12,37.5,37.85,36.5,36.97,4087400
2001-06-13,37.38,37.6,36.6,36.65,3086100
2001-06-14,36.65,36.65,34.73,35.57,3217100
2001-06-15,34.85,36.7,34.85,35.83,3337300
2001-06-18,36.0,36.05,35.16,35.16,2124400
2001-06-19,35.66,35.66,34.24,35.21,2355800
2001-06-20,35.59,35.59,34.8,35.05,1699100
2001-06-21,34.75,35.2,33.35,33.74,2699200
2001-06-22,33.84,34.36,33.3,34.07,2110900
2001-06-25,34.07,34.15,32.0,32.4,4993200
2001-06-26,32.3,32.74,31.9,32.4,2237400
2001-06-27,32.5,33.2,32.1,32.83,2512400
2001-06-28,33.0,33.09,32.7,32.85,2971900
2001-06-29,32.85,33.3,32.61,32.95,2381700
2001-07-02,33.7,33.7,32.86,33.13,1745700
2001-07-03,33.53,33.53,32.85,33.0,770600
2001-07-05,33.0,34.08,32.98,33.97,2243700
2001-07-06,33.7,34.08,33.35,33.71,2479800
2001-07-09,33.71,33.85,32.63,32.75,2118400
2001-07-10,33.2,33.6,33.1,33.23,2618300
2001-07-11,33.23,33.29,32.16,32.55,2152200
2001-07-12,32.3,32.5,31.75,32.41,1513200
2001-07-13,32.03,33.25,32.01,32.78,1416600
2001-07-16,32.95,33.28,32.2,32.54,1091600
2001-07-17,32.54,33.1,32.36,33.1,1972300
2001-07-18,33.5,33.5,32.5,32.98,2652800
2001-07-19,32.98,33.34,32.84,33.18,1130400
2001-07-20,33.65,33.7,32.45,32.86,1398500
2001-07-23,32.98,33.12,32.18,32.35,1683700
2001-07-24,31.09,31.22,30.0,30.28,5112000
2001-07-25,30.28,31.59,30.25,31.34,3537600
2001-07-26,32.0,32.66,31.81,32.58,1493900
2001-07-27,32.58,33.15,32.36,33.09,1733500
2001-07-30,33.09,33.3,32.35,33.15,1781800
2001-07-31,33.15,34.11,32.88,33.5,1587000
2001-08-01,33.5,34.0,33.35,33.61,1325300
2001-08-02,34.0,34.41,33.55,33.8,3432900
2001-08-03,34.05,34.05,33.05,33.51,1543500
2001-08-06,33.26,33.27,32.51,32.77,1609800
2001-08-07,32.67,32.9,32.2,32.45,1245200
2001-08-08,32.7,32.8,31.35,31.75,1935000
2001-08-09,31.5,31.82,30.9,31.75,1881500
2001-08-10,32.0,32.48,31.41,32.37,2099900
2001-08-13,32.25,32.27,31.95,32.06,1531100
2001-08-14,32.16,32.45,32.15,32.3,1598800
2001-08-15,32.0,32.89,31.56,32.5,2436500
2001-08-16,32.62,32.64,32.01,32.3,1504100
2001-08-17,32.3,32.3,31.67,31.91,1506000
2001-08-20,31.99,32.09,31.64,31.75,1914700
2001-08-21,31.85,31.99,31.53,31.62,1387800
2001-08-22,31.8,32.25,31.6,31.74,2135900
2001-08-23,32.0,32.4,31.65,32.12,1390100
2001-08-24,32.1,32.84,31.96,32.81,1189900
2001-08-27,32.91,33.23,32.85,33.05,1062200
2001-08-28,33.3,33.35,32.44,32.52,2009400
2001-08-29,32.75,32.99,32.4,32.85,1369000
2001-08-30,32.86,33.11,32.07,32.21,1284900
2001-08-31,32.51,32.8,31.95,32.55,934400
2001-09-04,32.27,33.39,32.27,32.61,1163300
2001-09-05,32.41,32.8,32.02,32.62,1815000
2001-09-06,32.22,32.45,31.65,31.97,1622200
2001-09-07,31.5,31.97,31.45,31.47,1593400
2001-09-10,31.47,31.81,31.14,31.46,1591200
2001-09-17,30.5,31.31,30.15,30.34,1622200
2001-09-18,30.5,30.5,28.2,28.29,1901700
2001-09-19,28.6,28.78,25.0,26.79,2759400
2001-09-20,26.79,27.34,26.0,26.52,2529900
