Date,Open,High,Low,Close,Volume
2001-02-07,52.68,53.25,52.16,53.04,701900
2001-02-08,53.04,53.45,50.9,52.0,787300
2001-02-09,52.0,52.0,50.2,50.81,1010600
2001-02-12,50.81,51.5,49.76,51.41,922500
2001-02-13,51.41,53.26,51.06,52.72,1189200
2001-02-14,52.2,52.2,50.75,51.4,743600
2001-02-15,50.9,53.93,50.8,53.67,969500
2001-02-16,53.0,53.82,52.41,52.96,1224200
2001-02-20,52.97,54.18,52.22,52.55,715700
2001-02-21,52.45,53.1,51.58,51.8,575800
2001-02-22,51.8,53.15,51.8,52.17,909700
2001-02-23,52.0,52.7,50.76,51.53,711900
2001-02-26,51.78,53.36,51.78,53.35,706800
2001-02-27,52.5,53.9,52.5,53.35,851400
2001-02-28,53.55,54.28,53.16,53.74,822300
2001-03-01,53.74,53.95,52.53,53.07,659100
2001-03-02,53.08,54.45,53.08,54.35,779700
2001-03-05,54.35,56.8,54.35,56.45,1116900
2001-03-06,56.45,56.54,55.3,55.55,1110500
2001-03-07,55.45,58.0,55.35,57.75,1020500
2001-03-08,57.3,57.87,55.9,57.32,2141700
2001-03-09,57.35,58.43,56.65,57.05,942300
2001-03-12,57.05,57.05,53.2,53.35,1123200
2001-03-13,52.35,52.87,51.25,52.6,1730600
2001-03-14,51.85,51.85,50.56,50.94,1373400
2001-03-15,50.94,50.94,49.9,50.05,1297000
2001-03-16,50.0,50.8,49.7,49.88,1399700
2001-03-19,50.0,51.65,50.0,50.5,787900
2001-03-20,50.95,52.89,50.05,52.1,1403300
2001-03-21,52.1,52.1,50.14,50.32,1002800
2001-03-22,49.8,50.25,47.02,49.0,1917900
2001-03-23,48.5,49.73,47.55,49.32,1007800
2001-03-26,49.25,51.18,48.7,50.34,822800
2001-03-27,50.34,52.42,49.91,52.23,1218600
2001-03-28,51.5,51.98,49.7,51.8,985500
2001-03-29,51.55,52.2,49.4,50.5,1588300
2001-03-30,50.5,51.68,50.17,50.79,1178900
2001-04-02,50.85,52.0,49.47,49.47,1070100
2001-04-03,50.4,50.4,48.8,49.0,940000
2001-04-04,49.1,50.33,49.0,49.42,1134200
2001-04-05,50.0,50.2,49.53,49.96,969300
2001-04-06,49.96,49.96,48.0,48.0,1144400
2001-04-09,48.25,50.25,48.25,49.43,1475200
2001-04-10,50.9,52.61,50.5,52.46,1354200
2001-04-11,53.95,53.95,51.9,52.45,1293300
2001-04-12,52.0,52.9,50.81,51.65,979100
2001-04-16,52.05,53.05,51.75,53.0,1074400
2001-04-17,52.5,52.55,51.3,51.6,887400
2001-04-18,51.6,54.7,50.95,53.86,1283800
2001-04-19,53.61,53.75,52.4,53.3,812700
2001-04-20,53.5,53.94,52.01,52.2,884300
2001-04-23,52.2,53.29,52.2,52.51,1186800
2001-04-24,52.7,53.71,52.05,52.39,1404300
2001-04-25,52.5,52.6,51.6,52.11,639000
2001-04-26,52.0,53.46,51.6,53.3,948900
2001-04-27,53.15,54.18,53.15,54.01,1394300
2001-04-30,55.0,57.0,55.0,56.53,1564600
2001-05-01,56.54,57.2,55.45,56.89,1230000
2001-05-02,56.5,57.45,55.62,57.18,1194100
2001-05-03,57.14,57.14,55.4,56.02,756200
2001-05-04,55.05,57.15,54.61,57.1,804600
2001-05-07,56.75,58.0,55.9,56.35,771700
2001-05-08,56.35,57.1,56.35,56.37,724300
2001-05-09,56.38,57.05,55.75,56.22,902900
2001-05-10,56.27,57.29,56.27,57.19,740800
2001-05-11,57.2,57.26,55.75,56.77,974100
2001-05-14,56.4,57.4,56.15,57.33,640700
2001-05-15,57.0,58.17,56.79,57.99,1150200
2001-05-16,57.99,62.0,57.35,61.52,2167100
2001-05-17,61.35,63.5,61.21,62.05,2764500
2001-05-18,61.9,62.49,60.5,61.05,1571100
2001-05-21,61.1,61.25,59.75,60.91,1350600
2001-05-22,60.0,60.01,58.95,59.02,1037400
2001-05-23,59.0,59.8,58.64,58.84,1006000
2001-05-24,58.75,58.76,56.5,57.0,1512700
2001-05-25,57.0,57.29,56.35,56.63,815300
2001-05-29,56.6,58.06,56.6,57.35,1149800
2001-05-30,57.35,58.0,56.7,57.02,858700
2001-05-31,57.27,57.99,56.9,57.21,956700
2001-06-01,57.27,57.85,56.11,57.67,1132300
2001-06-04,57.7,57.9,57.4,57.8,585600
2001-06-05,57.3,59.65,56.37,58.6,1239500
2001-06-06,58.35,59.42,58.08,58.36,921500
2001-06-07,58.35,59.06,58.35,58.85,568200
2001-06-08,58.4,58.7,57.85,57.93,611200
2001-06-11,57.85,57.95,56.76,56.99,633000
2001-06-12,56.55,56.65,55.6,55.8,1039100
2001-06-13,55.25,56.55,55.25,55.95,1086800
2001-06-14,55.95,55.95,54.3,54.49,1360200
2001-06-15,53.6,54.58,53.6,53.77,1204800
2001-06-18,54.0,54.15,53.2,53.56,550600
2001-06-19,53.85,53.98,52.85,53.11,520500
2001-06-20,53.36,54.55,53.36,53.7,869900
2001-06-21,54.06,55.04,53.73,54.52,719100
2001-06-22,55.0,55.05,53.88,54.15,603600
2001-06-25,54.1,54.1,52.61,53.13,528800
2001-06-26,54.3,54.5,52.9,53.7,1087400
2001-06-27,54.25,55.25,54.1,54.25,647100
2001-06-28,54.2,54.61,53.85,54.16,734200
2001-06-29,54.26,54.97,54.0,54.97,797500
2001-07-02,54.97,56.33,54.2,56.11,747400
2001-07-03,56.11,56.36,55.48,56.35,695300
2001-07-05,56.36,56.69,55.45,56.49,776600
2001-07-06,56.49,56.49,55.15,55.24,646800
2001-07-09,55.5,56.6,55.4,56.35,714100
2001-07-10,56.4,57.44,55.8,56.59,1235200
2001-07-11,57.0,58.42,57.0,58.05,1224300
2001-07-12,58.15,59.35,57.78,59.27,827800
2001-07-13,59.6,60.2,58.86,59.98,1225600
2001-07-16,59.85,59.85,58.85,59.05,1195200
2001-07-17,58.25,59.35,58.25,58.49,1756200
2001-07-18,58.39,58.6,57.93,58.35,1841300
2001-07-19,58.75,59.1,58.09,58.22,780900
2001-07-20,58.47,58.73,57.93,58.1,690300
2001-07-23,57.9,58.22,57.1,58.05,533100
2001-07-24,57.95,57.95,55.85,55.95,1023400
2001-07-25,56.15,57.3,55.7,56.89,649500
2001-07-26,56.0,57.95,55.93,57.88,507400
2001-07-27,57.95,58.09,57.4,57.64,390500
2001-07-30,57.54,58.25,57.27,58.0,437400
2001-07-31,57.8,60.29,57.7,59.73,1700200
2001-08-01,59.73,59.74,58.64,58.92,716400
2001-08-02,59.1,60.15,58.65,59.99,880200
2001-08-03,60.0,60.03,59.2,60.0,458400
2001-08-06,59.85,60.5,59.02,59.05,575700
2001-08-07,58.75,59.08,58.62,58.74,341800
2001-08-08,58.64,59.2,57.7,57.71,837300
2001-08-09,57.96,58.05,57.65,57.75,496500
2001-08-10,57.9,58.35,57.27,57.95,994300
2001-08-13,58.1,58.52,57.75,58.09,366600
2001-08-14,58.01,59.32,58.01,59.07,635100
2001-08-15,59.27,59.78,58.42,58.42,505200
2001-08-16,58.55,59.1,58.5,58.89,576600
2001-08-17,58.89,59.18,58.2,58.94,554300
2001-08-20,58.69,59.2,58.26,58.63,605700
2001-08-21,58.75,59.5,58.2,58.44,905900
2001-08-22,58.2,58.35,57.52,57.71,1201600
2001-08-23,57.95,58.29,57.12,58.18,477600
2001-08-24,58.35,59.37,58.11,59.37,625500
2001-08-27,59.3,59.55,58.51,58.65,514000
2001-08-28,58.65,58.7,57.8,57.83,380600
2001-08-29,57.95,58.25,56.6,56.99,1126600
2001-08-30,57.24,57.69,56.5,56.81,749600
2001-08-31,56.95,57.34,56.1,56.75,992200
2001-09-04,56.76,58.48,56.55,58.12,1208100
2001-09-05,58.1,58.6,57.54,57.8,827500
2001-09-06,57.55,57.82,56.75,57.0,503500
2001-09-07,57.15,57.15,53.75,54.29,1805800
2001-09-10,54.3,54.3,52.5,53.23,1488900
2001-09-17,50.5,51.11,47.59,48.0,1324200
2001-09-18,49.0,49.6,48.52,49.13,1199600
2001-09-19,49.5,49.8,46.8,47.95,1641200
2001-09-20,47.95,47.95,45.66,45.7,1217300
2001-09-21,43.25,46.2,42.77,45.8,1954700
2001-09-24,46.8,47.64,46.57,47.51,1013200
2001-09-25,47.6,48.95,47.3,47.84,1187400
2001-09-26,48.75,49.15,46.75,47.59,931700
2001-09-27,47.58,47.75,46.9,47.25,787100
2001-09-28,46.6,48.93,46.5,48.71,1048800
2001-10-01,48.0,48.34,46.9,47.32,799500
2001-10-02,47.32,47.95,46.8,47.8,832100
2001-10-03,47.2,48.37,47.0,48.24,496600
2001-10-04,48.1,48.45,47.13,47.63,444600
2001-10-05,47.63,49.12,47.57,49.06,608600
2001-10-08,48.7,48.71,47.64,48.0,459500
2001-10-09,48.0,48.5,47.81,48.29,568800
2001-10-10,48.28,50.65,48.28,50.26,772900
2001-10-11,50.01,51.9,49.6,51.59,700300
2001-10-12,50.75,51.7,50.1,51.18,664400
2001-10-15,51.18,51.2,50.0,50.89,472200
2001-10-16,50.9,51.04,50.0,50.71,473200
2001-10-17,50.96,51.2,49.0,49.04,727800
2001-10-18,49.6,49.98,48.61,49.09,642300
2001-10-19,48.99,49.27,48.06,49.15,590500
2001-10-22,48.9,50.64,48.88,50.46,484700
2001-10-23,50.0,50.42,49.4,49.87,596200
2001-10-24,49.77,51.2,49.1,51.0,882300
2001-10-25,50.7,52.65,50.5,52.45,1051800
2001-10-26,52.65,52.79,52.2,52.44,632300
2001-10-29,52.25,52.26,51.05,51.36,613600
2001-10-30,51.3,51.36,50.21,50.78,695300
2001-10-31,51.25,51.35,49.85,49.91,526400
2001-11-01,49.91,50.7,49.15,50.61,627000
2001-11-02,50.5,51.5,50.2,51.32,564300
2001-11-05,51.45,51.95,50.7,51.45,388700
2001-11-06,51.35,51.9,50.65,51.9,390500
2001-11-07,51.8,52.85,51.55,52.1,444400
2001-11-08,52.35,52.88,51.72,52.2,534900
2001-11-09,52.2,52.3,51.37,51.85,355500
2001-11-12,51.86,51.86,50.45,51.29,498600
2001-11-13,51.28,52.3,51.28,51.77,748500
2001-11-14,52.0,54.0,52.0,53.83,1061200
2001-11-15,54.0,54.7,53.42,54.53,1319800
2001-11-16,54.45,54.46,53.37,54.01,909900
2001-11-19,54.2,54.7,53.85,53.99,619800
2001-11-20,54.0,54.0,52.6,53.29,533700
2001-11-21,53.4,53.5,52.65,52.92,357700
2001-11-23,52.55,53.59,52.53,53.49,176300
2001-11-26,53.69,53.7,52.8,53.32,502800
2001-11-27,53.32,53.32,52.45,52.99,392500
2001-11-28,53.15,53.15,52.46,52.6,372500
2001-11-29,52.4,52.85,52.05,52.19,837700
2001-11-30,52.25,53.0,52.25,52.85,828700
2001-12-03,52.6,52.85,52.09,52.43,837400
2001-12-04,52.44,52.91,52.17,52.91,655400
2001-12-05,53.35,55.0,53.27,54.61,707700
2001-12-06,54.0,56.67,53.82,55.5,1251500
2001-12-07,55.3,55.37,53.86,54.52,1136100
2001-12-10,54.42,54.43,52.59,52.6,761900
2001-12-11,52.6,53.5,52.05,52.94,976500
2001-12-12,53.19,53.32,52.12,52.86,466100
2001-12-13,52.86,53.3,52.2,52.5,805300
2001-12-14,52.5,53.09,51.8,52.24,617400
2001-12-17,52.24,53.11,52.24,53.11,824800
2001-12-18,53.06,54.27,53.06,54.23,817900
2001-12-19,53.98,54.0,53.31,53.6,817600
2001-12-20,53.0,54.0,52.8,53.68,1217600
2001-12-21,53.85,53.95,53.09,53.45,1270200
2001-12-24,53.35,54.25,53.29,53.79,211400
2001-12-26,53.8,54.2,53.0,53.26,548100
2001-12-27,53.2,54.2,53.15,53.55,375200
2001-12-28,54.0,54.75,54.0,54.34,429200
2001-12-31,54.34,55.44,54.04,54.08,503100
2002-01-02,54.5,54.5,53.25,53.66,557600
2002-01-03,53.66,54.04,53.25,53.99,670800
2002-01-04,55.0,56.0,54.9,55.52,725400
2002-01-07,55.27,55.75,54.65,55.35,537400
2002-01-08,55.6,55.6,53.9,54.29,636900
2002-01-09,54.29,55.09,53.93,54.15,421100
2002-01-10,53.9,53.9,52.6,53.37,695100
2002-01-11,53.8,54.0,52.7,53.39,436900
2002-01-14,53.25,53.25,52.1,52.11,800700
2002-01-15,52.0,52.34,50.85,51.6,706200
2002-01-16,51.75,51.99,51.04,51.04,549900
2002-01-17,51.2,51.81,50.94,51.33,521500
2002-01-18,51.33,52.14,51.3,51.51,624900
2002-01-22,52.1,54.75,52.1,53.72,1967200
2002-01-23,53.6,55.6,53.1,54.92,1315800
2002-01-24,55.4,56.5,55.35,56.23,1415100
2002-01-25,56.2,57.05,56.04,56.8,1282600
2002-01-28,57.55,59.56,57.51,59.56,2722500
2002-01-29,59.56,59.94,57.3,57.64,1401200
2002-01-30,57.25,58.0,56.66,57.21,1834000
2002-01-31,57.35,59.48,57.35,58.32,1331700
2002-02-01,58.07,58.8,57.77,57.93,826200
2002-02-04,58.0,58.35,57.0,57.23,759400
2002-02-05,57.48,57.95,57.09,57.13,879400
2002-02-06,57.0,57.4,55.25,56.49,1187000
2002-02-07,56.74,58.45,56.69,58.25,1405600
2002-02-08,58.1,59.04,57.7,58.9,768100
2002-02-11,59.15,62.7,59.0,62.32,1616000
2002-02-12,61.7,62.0,60.5,60.77,2184800
2002-02-13,60.45,61.49,60.25,60.55,1245800
2002-02-14,60.6,60.95,59.6,60.24,825000
2002-02-15,59.81,61.1,59.81,60.14,1308300
2002-02-19,60.4,60.6,58.5,58.68,1149700
2002-02-20,59.0,60.0,58.24,59.88,1464900
2002-02-21,59.85,61.24,59.8,60.25,1164000
2002-02-22,60.1,61.4,60.0,60.0,1052500
2002-02-25,60.2,60.59,59.55,60.35,1192400
2002-02-26,60.45,61.36,59.84,61.2,1476100
2002-02-27,61.45,62.7,61.45,61.75,1515300
2002-02-28,61.75,62.1,60.75,61.82,1401900
2002-03-01,61.82,62.48,61.4,62.23,826200
2002-03-04,62.25,65.4,62.25,65.25,2574900
2002-03-05,65.0,65.01,62.8,62.81,1383600
2002-03-06,62.7,64.22,62.5,64.0,1320700
2002-03-07,64.01,64.54,63.75,64.46,1774800
2002-03-08,65.0,65.25,62.9,63.15,1070400
2002-03-11,63.6,63.7,62.75,63.52,614200
2002-03-12,62.9,63.69,62.48,63.5,600900
2002-03-13,62.8,62.93,62.0,62.3,700200
2002-03-14,62.8,65.4,62.6,65.17,2010200
2002-03-15,65.16,65.97,63.65,65.45,1850000
2002-03-18,65.45,66.67,64.2,64.73,970000
2002-03-19,65.25,66.21,65.04,65.52,619200
2002-03-20,65.52,65.65,64.74,64.98,578000
2002-03-21,64.73,64.82,62.27,62.97,1423700
2002-03-22,62.61,62.85,61.4,61.89,1388800
2002-03-25,61.55,62.05,60.84,60.89,781100
2002-03-26,60.55,63.1,60.1,62.41,863400
2002-03-27,62.41,63.33,62.05,63.01,883000
2002-03-28,62.81,63.4,62.7,62.86,517000
2002-04-01,62.86,62.86,61.29,62.1,465600
2002-04-02,62.1,62.21,60.76,61.57,644900
2002-04-03,61.58,62.28,61.51,61.74,1595100
2002-04-04,61.6,62.0,60.26,60.99,621200
2002-04-05,60.99,61.98,60.99,61.88,809500
2002-04-08,61.88,61.88,61.0,61.4,836500
2002-04-09,61.4,61.4,60.33,60.86,962900
2002-04-10,61.06,62.6,60.87,62.34,765800
2002-04-11,62.43,63.3,61.35,61.44,924700
2002-04-12,61.3,61.31,60.0,60.67,890900
2002-04-15,60.82,61.02,59.3,59.77,979600
2002-04-16,60.0,61.84,60.0,61.49,833000
2002-04-17,61.85,62.22,61.35,61.81,683300
2002-04-18,62.0,62.45,61.25,61.62,672400
2002-04-19,61.81,62.59,61.43,61.7,677600
2002-04-22,61.7,61.7,59.63,59.66,1050900
2002-04-23,59.56,60.39,59.1,59.36,1041500
2002-04-24,59.95,60.88,58.0,58.64,1299700
2002-04-25,58.89,59.85,57.56,59.46,1483400
2002-04-26,59.85,60.15,58.25,58.49,880000
2002-04-29,58.3,58.9,57.77,57.85,962500
2002-04-30,57.75,60.45,57.7,59.61,994200
2002-05-01,59.4,60.2,58.7,59.39,824500
2002-05-02,60.5,61.58,60.32,61.12,2217300
2002-05-03,61.25,63.5,61.2,62.61,1931500
2002-05-06,63.8,64.25,63.24,63.7,2318600
2002-05-07,64.6,64.88,64.08,64.24,2032500
2002-05-08,64.75,65.16,64.51,64.89,950500
2002-05-09,64.93,64.98,64.48,64.55,818400
2002-05-10,64.52,64.73,63.95,64.01,746700
2002-05-13,64.01,65.13,64.0,64.99,660500
2002-05-14,65.9,67.9,65.8,67.61,1881600
2002-05-15,67.25,67.86,66.68,67.4,1446900
2002-05-16,67.25,67.26,66.53,66.7,655700
2002-05-17,66.7,67.05,65.2,65.96,734600
2002-05-20,65.96,65.96,65.13,65.51,434400
2002-05-21,65.51,66.05,65.08,65.39,750500
2002-05-22,65.39,66.55,65.24,66.1,870600
2002-05-23,66.1,68.09,65.6,67.83,1239000
2002-05-24,67.83,67.95,66.44,66.55,1116300
2002-05-28,66.56,66.66,65.55,65.75,874500
2002-05-29,65.75,65.95,65.3,65.9,1436400
2002-05-30,65.9,65.94,64.43,65.01,941800
2002-05-31,64.9,66.09,64.9,65.5,820900
2002-06-03,65.5,65.5,63.4,63.4,1143000
2002-06-04,63.41,64.83,63.0,64.06,1279700
2002-06-05,64.4,65.08,64.21,64.6,725800
2002-06-06,64.8,65.19,64.2,64.59,876600
2002-06-07,63.3,64.95,63.3,64.0,1509500
2002-06-10,64.0,64.96,63.95,64.51,628200
2002-06-11,64.76,65.71,63.08,63.1,1497700
2002-06-12,63.35,63.88,63.0,63.4,1078700
2002-06-13,63.5,64.0,62.62,62.91,740300
2002-06-14,62.91,62.91,61.34,62.13,920600
2002-06-17,62.85,64.41,62.77,64.3,907700
2002-06-18,64.2,64.87,63.71,64.74,908000
2002-06-19,64.5,65.34,64.22,65.0,1278900
2002-06-20,64.75,65.27,64.75,64.93,1181200
2002-06-21,64.9,65.3,64.0,64.35,1037200
2002-06-24,64.35,65.07,63.75,65.0,943200
2002-06-25,65.4,65.75,64.82,64.99,972900
2002-06-26,63.25,64.0,62.4,63.61,1361900
2002-06-27,64.1,64.23,62.2,62.96,1229400
2002-06-28,62.97,64.6,62.93,63.85,1389000
2002-07-01,63.85,64.14,62.37,62.8,1185800
2002-07-02,62.8,63.2,61.0,61.57,1045200
2002-07-03,61.58,62.24,59.8,60.8,1252400
2002-07-05,61.7,62.8,61.5,62.36,623800
2002-07-08,62.65,63.23,62.35,62.88,981900
2002-07-09,62.7,63.62,61.5,61.5,926100
2002-07-10,62.1,62.18,59.56,59.86,813900
2002-07-11,59.86,60.0,57.85,59.36,1153900
2002-07-12,59.11,59.3,58.27,58.86,704200
2002-07-15,58.61,58.61,55.5,57.66,1282500
2002-07-16,58.0,58.55,56.5,57.15,1349800
2002-07-17,58.5,59.18,57.68,57.76,1099100
2002-07-18,58.1,58.6,56.3,56.3,1074300
2002-07-19,56.0,56.06,53.01,53.3,1311000
2002-07-22,53.1,53.23,50.7,51.75,2058700
2002-07-23,51.76,52.6,51.4,52.28,1387300
2002-07-24,51.8,55.75,50.93,55.43,1583800
2002-07-25,55.72,57.1,54.13,54.52,2032000
2002-07-26,54.6,55.95,54.32,55.74,970600
2002-07-29,56.75,60.25,56.59,60.25,1278200
2002-07-30,60.0,60.16,57.45,58.33,1384600
2002-07-31,58.1,58.78,56.8,58.75,991900
2002-08-01,58.75,59.14,57.25,58.05,848700
2002-08-02,58.4,58.5,54.75,55.51,768400
2002-08-05,55.52,55.8,53.59,53.83,816300
2002-08-06,54.4,55.94,54.27,54.7,897400
2002-08-07,55.2,55.47,53.39,54.16,1707600
2002-08-08,54.75,56.69,54.1,56.5,773500
2002-08-09,56.4,58.4,55.8,57.92,1309400
2002-08-12,57.5,57.92,56.55,57.8,750800
2002-08-13,57.1,58.05,55.8,55.83,674300
2002-08-14,55.83,55.83,53.25,55.15,2080400
2002-08-15,55.7,56.6,54.66,56.05,1314900
2002-08-16,55.5,55.6,53.88,54.56,1292500
2002-08-19,54.25,57.0,54.0,56.59,991900
2002-08-20,56.2,56.4,55.56,55.98,768200
2002-08-21,56.1,56.5,54.71,55.4,1186000
2002-08-22,54.95,55.5,53.75,54.5,1564700
2002-08-23,54.5,54.9,53.94,54.3,1130100
2002-08-26,54.35,55.7,54.08,55.3,688500
2002-08-27,55.9,56.47,55.44,55.6,1161400
2002-08-28,55.0,55.12,53.46,53.72,938600
2002-08-29,52.9,53.32,52.46,53.0,1237900
2002-08-30,53.1,55.21,53.1,54.51,959100
2002-09-03,54.35,54.35,52.1,52.3,1535000
2002-09-04,52.3,52.7,51.0,52.35,970900
2002-09-05,51.6,51.78,50.07,50.1,1019500
2002-09-06,50.65,51.6,50.0,51.0,1134200
2002-09-09,51.01,51.98,50.5,51.77,699700
2002-09-10,51.78,52.31,51.19,51.54,825800
2002-09-11,51.85,52.87,51.77,52.49,795100
2002-09-12,52.5,53.35,51.65,52.73,2220400
2002-09-13,52.48,52.87,51.2,52.56,1273000
2002-09-16,52.1,52.6,51.45,51.6,633300
2002-09-17,52.3,52.45,50.17,50.26,757900
2002-09-18,50.15,50.4,49.1,49.78,1153900
2002-09-19,49.4,50.15,48.67,48.67,1127100
2002-09-20,48.7,49.98,48.4,49.85,1996000
2002-09-23,49.86,50.45,49.3,49.73,1511600
2002-09-24,45.55,46.98,41.2,43.79,7587600
2002-09-25,45.0,46.0,44.3,44.83,3040500
2002-09-26,45.1,45.75,44.05,45.74,1560600
2002-09-27,45.2,45.69,43.75,43.99,1679200
2002-09-30,43.4,44.07,42.17,43.77,1423000
2002-10-01,43.95,45.97,43.4,45.97,1309800
2002-10-02,45.97,45.97,43.15,43.31,1082000
2002-10-03,43.41,44.44,42.0,42.22,1459400
2002-10-04,42.6,43.18,40.9,41.44,1202400
2002-10-07,41.4,41.74,38.87,38.9,1408800
2002-10-08,39.15,40.57,38.0,40.03,2011100
2002-10-09,40.03,40.03,37.35,38.04,1826500
2002-10-10,37.8,40.44,37.75,40.17,1391200
2002-10-11,41.5,43.01,41.1,41.86,1891100
2002-10-14,41.5,42.33,41.4,42.04,588700
2002-10-15,43.0,45.0,43.0,44.98,1282000
2002-10-16,44.98,45.25,44.01,44.01,1355700
2002-10-17,45.0,45.6,44.56,44.78,679900
2002-10-18,44.55,44.95,43.7,44.85,820700
2002-10-21,44.86,47.95,44.3,47.73,1515700
2002-10-22,46.5,46.76,45.0,45.87,1552200
2002-10-23,45.67,47.11,45.54,47.08,1020200
2002-10-24,46.85,47.4,45.1,45.48,1035900
2002-10-25,45.58,47.28,45.1,47.21,1127000
2002-10-28,48.35,48.35,46.81,47.36,1357000
2002-10-29,47.45,47.64,45.6,46.57,1030700
2002-10-30,46.3,46.35,44.9,45.33,1295200
2002-10-31,45.5,45.75,44.8,45.3,1043300
2002-11-01,45.35,46.28,44.85,46.15,654000
2002-11-04,46.5,47.3,46.26,46.47,896000
2002-11-05,46.4,46.7,45.9,46.48,431300
2002-11-06,46.48,47.64,45.87,47.38,735900
2002-11-07,47.0,47.01,45.26,45.82,983700
2002-11-08,45.35,46.27,44.3,44.74,748900
2002-11-11,44.35,44.44,42.77,42.9,1034500
2002-11-12,43.3,44.8,43.2,44.35,1200700
2002-11-13,44.3,45.3,43.62,44.09,1161000
2002-11-14,44.7,46.55,44.68,46.23,866200
2002-11-15,46.24,46.9,45.82,46.53,788400
2002-11-18,47.15,47.39,46.13,46.2,626500
2002-11-19,45.45,47.16,45.44,46.27,519600
2002-11-20,46.2,46.75,45.92,46.64,1079000
2002-11-21,47.25,50.02,47.12,50.02,1216200
2002-11-22,50.0,51.1,49.43,49.73,1297300
2002-11-25,49.48,50.8,49.4,50.2,781300
2002-11-26,49.8,49.97,48.95,49.44,639000
2002-11-27,49.7,51.88,49.7,51.66,664800
2002-11-29,52.45,52.73,51.95,52.6,679500
2002-12-02,52.62,52.8,50.08,51.2,1416700
2002-12-03,50.95,50.97,49.6,49.88,1023200
2002-12-04,49.0,49.38,48.6,48.89,1084700
2002-12-05,49.0,49.05,48.1,48.35,652800
2002-12-06,47.0,48.19,47.0,48.05,1146800
2002-12-09,47.95,47.95,46.55,46.55,597700
2002-12-10,46.56,47.64,46.4,47.58,694300
2002-12-11,47.0,48.53,46.72,48.25,813600
2002-12-12,48.6,48.87,47.5,48.17,1123800
2002-12-13,48.17,48.57,47.5,47.77,1085300
2002-12-16,48.05,49.8,47.78,49.8,988600
2002-12-17,49.8,51.0,49.74,50.31,1401100
2002-12-18,50.1,50.25,49.45,49.57,1177000
2002-12-19,49.57,50.13,48.93,49.06,674800
2002-12-20,49.06,49.75,48.7,49.2,1575700
2002-12-23,49.0,49.32,48.65,49.11,876500
2002-12-24,49.11,49.35,48.85,49.07,445300
2002-12-26,49.05,49.5,48.96,49.05,773100
2002-12-27,48.95,49.12,48.42,48.6,709900
2002-12-30,48.42,49.18,48.11,49.04,661500
2002-12-31,48.85,49.4,48.29,49.21,609600
2003-01-02,49.35,51.12,49.25,51.04,889600
2003-01-03,51.0,51.0,50.25,50.75,769000
2003-01-06,50.35,52.45,50.35,52.1,1183700
2003-01-07,52.0,52.3,51.45,51.99,956000
2003-01-08,51.75,51.75,50.65,50.92,785300
2003-01-09,50.5,51.65,50.5,51.44,1317700
2003-01-10,51.45,52.76,50.5,52.76,1622400
2003-01-13,52.77,53.9,52.0,53.58,1724900
2003-01-14,53.45,53.73,52.86,53.4,971300
2003-01-15,53.3,53.37,52.25,52.67,891900
2003-01-16,52.77,53.48,52.75,53.31,852100
2003-01-17,53.15,53.16,52.45,52.52,844800
2003-01-21,52.9,52.97,51.05,51.2,941300
2003-01-22,51.25,52.31,50.85,51.45,1083700
2003-01-23,51.68,52.2,51.26,52.0,1065000
2003-01-24,51.8,51.95,50.05,50.08,1256000
2003-01-27,49.85,50.06,48.67,48.81,1055300
2003-01-28,48.87,49.6,48.09,48.93,1238000
2003-01-29,48.15,51.0,47.2,48.99,1258800
2003-01-30,48.55,48.99,47.54,47.56,1155300
2003-01-31,47.1,48.46,47.07,48.05,1203100
2003-02-03,48.62,49.71,48.57,49.37,1223700
2003-02-04,49.38,50.25,48.47,50.25,1925500
2003-02-05,50.26,51.49,50.2,50.36,1688900
2003-02-06,50.05,50.35,49.4,49.95,1290700
2003-02-07,50.45,50.75,49.53,49.56,983000
2003-02-10,49.66,50.55,49.3,50.09,1032100
2003-02-11,50.5,50.65,49.04,49.62,910400
2003-02-12,49.5,50.47,49.06,49.9,1089200
