Date,Open,High,Low,Close,Volume
2001-02-06,56.75,56.75,55.5,56.19,324900
2001-02-07,56.0,56.88,55.88,56.69,235400
2001-02-08,56.69,57.19,56.12,56.88,177000
2001-02-09,56.88,57.88,56.75,57.44,200000
2001-02-12,57.34,58.5,57.25,58.31,288700
2001-02-13,58.25,58.62,58.06,58.31,202700
2001-02-14,58.12,59.12,58.06,58.69,273400
2001-02-15,58.62,58.62,57.88,58.06,381700
2001-02-16,57.62,57.75,56.88,57.12,310800
2001-02-20,57.02,57.12,56.0,56.81,216300
2001-02-21,56.62,56.81,55.12,55.38,412700
2001-02-22,55.38,55.75,53.52,55.11,228400
2001-02-23,54.88,55.31,53.88,55.12,239300
2001-02-26,55.12,56.81,55.12,56.5,468600
2001-02-27,56.56,57.75,56.31,57.0,299200
2001-02-28,57.25,57.75,56.39,57.44,282400
2001-03-01,57.31,57.81,56.31,57.56,279000
2001-03-02,57.56,59.56,57.44,58.5,466300
2001-03-05,58.69,59.25,57.38,58.0,296900
2001-03-06,58.02,58.75,57.06,57.44,150600
2001-03-07,57.62,57.62,56.69,57.12,254900
2001-03-08,57.0,57.12,55.44,56.38,332600
2001-03-09,56.38,56.94,55.38,55.38,184600
2001-03-12,55.44,55.56,53.75,54.0,243200
2001-03-13,53.75,54.81,53.44,54.75,471200
2001-03-14,53.75,54.0,52.69,52.88,434900
2001-03-15,53.69,54.0,52.94,53.19,392400
2001-03-16,52.56,53.06,51.25,51.44,815700
2001-03-19,51.44,51.88,50.38,51.69,405700
2001-03-20,51.61,53.19,51.25,51.25,425600
2001-03-21,50.81,50.88,48.5,48.75,415500
2001-03-22,48.69,49.25,45.75,46.94,650600
2001-03-23,47.25,50.62,47.25,49.25,465500
2001-03-26,49.74,51.56,49.74,51.2,658300
2001-03-27,51.22,53.15,51.03,53.0,420300
2001-03-28,52.53,52.54,51.96,52.26,387400
2001-03-29,51.7,52.47,51.7,51.79,332500
2001-03-30,51.8,52.9,51.7,52.09,585900
2001-04-02,52.1,52.69,52.0,52.03,667400
2001-04-03,52.0,52.05,50.63,51.99,729000
2001-04-04,52.3,52.3,50.26,50.42,841200
2001-04-05,50.55,52.1,50.53,51.99,254200
2001-04-06,51.6,52.5,50.8,51.08,328400
2001-04-09,51.19,51.93,51.05,51.35,133200
2001-04-10,51.47,52.3,51.2,52.19,579100
2001-04-11,52.1,53.75,52.1,53.03,552800
2001-04-12,53.01,53.2,52.28,53.2,140200
2001-04-16,53.2,53.3,51.75,52.3,116600
2001-04-17,52.29,52.3,51.75,52.04,372900
2001-04-18,52.3,54.0,52.28,53.29,313900
2001-04-19,53.22,55.31,52.87,55.25,559300
2001-04-20,55.22,55.3,54.34,54.35,489700
2001-04-23,53.94,54.45,52.35,52.54,370700
2001-04-24,52.5,53.55,52.49,53.01,202400
2001-04-25,52.92,53.06,51.7,52.86,274700
