Date,GOOG,AMZN,FB,AAPL,MSFT
2001-07-25,,11.51,,1.32,33.67
2001-07-26,,12.43,,1.33,33.3
2001-07-27,,12.25,,1.35,32.74
2001-07-30,,12.55,,1.35,32.9
2001-07-31,,12.49,,1.34,33.09
2001-08-01,,12.5,,1.36,33.24
2001-08-02,,12.19,,1.42,33.72
2001-08-03,,12.15,,1.39,33.45
2001-08-06,,11.9,,1.37,33.07
2001-08-07,,11.6,,1.38,33.18
2001-08-08,,11.11,,1.35,32.43
2001-08-09,,10.46,,1.36,32.5
2001-08-10,,9.95,,1.36,32.76
2001-08-13,,10.12,,1.36,32.92
2001-08-14,,10.53,,1.34,32.34
2001-08-15,,10.08,,1.32,31.6
2001-08-16,,9.81,,1.33,32.31
2001-08-17,,9.99,,1.29,30.94
2001-08-20,,10.4,,1.29,31.35
2001-08-21,,9.89,,1.28,30.39
2001-08-22,,10.2,,1.3,30.33
2001-08-23,,9.63,,1.27,29.56
2001-08-24,,10.23,,1.33,31.03
2001-08-27,,10.13,,1.35,31.16
2001-08-28,,9.97,,1.31,30.37
2001-08-29,,9.19,,1.27,30.12
2001-08-30,,8.69,,1.27,28.47
2001-08-31,,8.94,,1.33,28.53
2001-09-04,,8.59,,1.3,28.05
2001-09-05,,7.65,,1.32,28.87
2001-09-06,,8.15,,1.27,28.01
2001-09-07,,8.51,,1.23,27.7
2001-09-10,,8.63,,1.24,28.79
2001-09-17,,7.49,,1.21,26.46
2001-09-18,,7.29,,1.16,27.16
2001-09-19,,7.31,,1.22,26.93
2001-09-20,,7.48,,1.12,25.38
2001-09-21,,7.48,,1.12,24.86
2001-09-24,,7.46,,1.17,26.0
2001-09-25,,7.09,,1.11,25.65
2001-09-26,,6.35,,1.08,25.14
2001-09-27,,6.2,,1.11,24.98
2001-09-28,,5.97,,1.11,25.58
2001-10-01,,6.01,,1.11,25.89
2001-10-02,,6.08,,1.08,26.53
2001-10-03,,6.76,,1.07,28.12
2001-10-04,,7.04,,1.13,28.22
2001-10-05,,7.2,,1.15,28.86
2001-10-08,,7.12,,1.16,29.02
2001-10-09,,6.91,,1.14,27.28
2001-10-10,,7.26,,1.2,27.76
2001-10-11,,7.85,,1.27,28.16
2001-10-12,,8.07,,1.29,28.19
2001-10-15,,8.88,,1.28,29.03
2001-10-16,,9.56,,1.29,29.22
2001-10-17,,8.92,,1.21,28.02
2001-10-18,,8.47,,1.29,28.38
2001-10-19,,8.01,,1.31,28.95
2001-10-22,,8.77,,1.36,30.08
2001-10-23,,9.55,,1.3,30.22
2001-10-24,,7.64,,1.35,30.66
2001-10-25,,7.77,,1.37,31.28
2001-10-26,,7.56,,1.33,31.1
2001-10-29,,7.05,,1.26,29.82
2001-10-30,,6.42,,1.26,29.44
2001-10-31,,6.98,,1.25,29.08
2001-11-01,,6.95,,1.33,30.92
2001-11-02,,6.71,,1.33,30.7
2001-11-05,,6.99,,1.36,31.64
2001-11-06,,7.05,,1.4,32.39
2001-11-07,,7.43,,1.4,32.12
2001-11-08,,6.97,,1.34,32.21
2001-11-09,,7.12,,1.34,32.6
2001-11-12,,7.05,,1.34,32.9
2001-11-13,,7.29,,1.38,33.95
2001-11-14,,9.49,,1.4,32.98
2001-11-15,,9.05,,1.39,33.06
2001-11-16,,8.95,,1.36,32.88
2001-11-19,,9.19,,1.43,33.27
2001-11-20,,8.6,,1.4,32.7
2001-11-21,,8.8,,1.41,32.02
2001-11-23,,9.08,,1.42,32.36
2001-11-26,,12.21,,1.53,32.57
2001-11-27,,11.48,,1.5,31.87
2001-11-28,,11.59,,1.47,31.4
2001-11-29,,11.15,,1.46,32.42
2001-11-30,,11.32,,1.52,32.1
2001-12-03,,10.49,,1.5,32.38
2001-12-04,,11.93,,1.6,33.0
2001-12-05,,11.76,,1.7,34.05
2001-12-06,,12.1,,1.63,34.32
2001-12-07,,11.71,,1.61,33.92
2001-12-10,,11.65,,1.61,33.53
2001-12-11,,12.24,,1.56,33.66
2001-12-12,,11.91,,1.54,33.98
2001-12-13,,10.89,,1.5,33.14
2001-12-14,,11.0,,1.46,33.72
2001-12-17,,10.81,,1.47,34.49
2001-12-18,,10.86,,1.5,34.64
2001-12-19,,10.71,,1.54,34.74
2001-12-20,,10.15,,1.48,33.38
2001-12-21,,10.0,,1.5,33.77
2001-12-24,,9.83,,1.53,33.64
2001-12-26,,11.1,,1.54,33.84
2001-12-27,,10.6,,1.58,33.92
2001-12-28,,10.9,,1.6,33.94
2001-12-31,,10.82,,1.56,33.12
2002-01-02,,10.96,,1.66,33.52
2002-01-03,,11.9,,1.68,34.62
2002-01-04,,12.25,,1.69,34.45
2002-01-07,,12.34,,1.64,34.28
2002-01-08,,11.85,,1.62,34.69
2002-01-09,,11.53,,1.55,34.36
2002-01-10,,11.04,,1.52,34.64
2002-01-11,,11.03,,1.5,34.3
2002-01-14,,10.11,,1.51,34.24
2002-01-15,,10.29,,1.55,34.78
2002-01-16,,9.13,,1.48,33.94
2002-01-17,,9.74,,1.61,34.93
2002-01-18,,10.16,,1.58,33.05
2002-01-22,,12.6,,1.56,32.23
2002-01-23,,12.47,,1.64,31.87
2002-01-24,,14.01,,1.66,32.33
2002-01-25,,14.44,,1.66,31.9
2002-01-28,,15.5,,1.66,31.91
2002-01-29,,14.22,,1.65,31.16
2002-01-30,,13.9,,1.72,31.42
2002-01-31,,14.19,,1.77,31.86
2002-02-01,,13.73,,1.74,31.33
2002-02-04,,12.53,,1.81,30.56
2002-02-05,,11.5,,1.82,30.58
2002-02-06,,11.26,,1.76,30.2
2002-02-07,,11.24,,1.74,29.9
2002-02-08,,12.52,,1.72,30.32
2002-02-11,,13.3,,1.78,30.56
2002-02-12,,12.9,,1.76,30.07
2002-02-13,,13.29,,1.79,30.91
2002-02-14,,13.88,,1.76,30.8
2002-02-15,,13.41,,1.71,30.12
2002-02-19,,13.01,,1.62,29.42
2002-02-20,,12.96,,1.65,29.95
2002-02-21,,13.26,,1.54,29.02
2002-02-22,,13.07,,1.62,29.0
2002-02-25,,13.73,,1.7,29.54
2002-02-26,,14.4,,1.69,29.28
2002-02-27,,14.27,,1.57,29.2
2002-02-28,,14.1,,1.55,29.17
2002-03-01,,15.39,,1.68,30.68
2002-03-04,,16.48,,1.74,31.6
2002-03-05,,15.97,,1.68,31.54
2002-03-06,,16.33,,1.72,31.82
2002-03-07,,15.62,,1.74,31.36
2002-03-08,,16.35,,1.76,31.98
2002-03-11,,16.71,,1.79,32.17
2002-03-12,,16.31,,1.77,31.27
2002-03-13,,15.74,,1.75,31.05
2002-03-14,,14.48,,1.74,30.61
2002-03-15,,14.03,,1.78,31.24
2002-03-18,,15.01,,1.77,31.07
2002-03-19,,14.66,,1.78,31.12
2002-03-20,,14.5,,1.78,30.05
2002-03-21,,15.17,,1.73,30.68
2002-03-22,,15.53,,1.72,30.22
2002-03-25,,14.74,,1.67,29.62
2002-03-26,,14.83,,1.68,29.54
2002-03-27,,14.25,,1.68,29.72
2002-03-28,,14.3,,1.69,30.16
2002-04-01,,14.8,,1.75,30.19
2002-04-02,,14.25,,1.72,28.65
2002-04-03,,13.67,,1.7,28.16
2002-04-04,,13.54,,1.78,28.22
2002-04-05,,13.5,,1.77,27.94
2002-04-08,,13.95,,1.75,28.61
2002-04-09,,13.6,,1.72,27.44
2002-04-10,,13.48,,1.76,28.15
2002-04-11,,12.74,,1.78,27.4
2002-04-12,,13.31,,1.79,27.96
2002-04-15,,13.89,,1.79,27.84
2002-04-16,,14.01,,1.84,28.9
2002-04-17,,14.82,,1.86,28.32
2002-04-18,,14.26,,1.82,28.18
2002-04-19,,14.53,,1.78,28.6
2002-04-22,,14.31,,1.75,27.8
2002-04-23,,14.06,,1.73,27.0
2002-04-24,,16.79,,1.7,26.51
2002-04-25,,16.82,,1.72,26.86
2002-04-26,,16.91,,1.64,25.75
2002-04-29,,16.18,,1.71,26.12
2002-04-30,,16.69,,1.73,26.13
2002-05-01,,16.49,,1.71,26.38
2002-05-02,,16.32,,1.69,25.6
2002-05-03,,16.05,,1.68,24.78
2002-05-06,,16.12,,1.62,24.31
2002-05-07,,16.11,,1.6,24.74
2002-05-08,,17.32,,1.74,27.48
2002-05-09,,17.73,,1.73,26.06
2002-05-10,,16.94,,1.67,25.02
2002-05-13,,17.32,,1.71,26.34
2002-05-14,,18.81,,1.83,27.44
2002-05-15,,19.94,,1.81,27.38
2002-05-16,,19.61,,1.8,27.87
2002-05-17,,19.16,,1.79,28.02
2002-05-20,,19.39,,1.77,27.0
2002-05-21,,18.76,,1.68,26.1
2002-05-22,,18.75,,1.74,26.84
2002-05-23,,19.45,,1.8,27.41
2002-05-24,,19.47,,1.72,26.63
2002-05-28,,19.06,,1.71,26.16
2002-05-29,,18.91,,1.71,26.02
2002-05-30,,18.37,,1.73,26.32
2002-05-31,,18.23,,1.66,25.46
2002-06-03,,17.96,,1.64,24.71
2002-06-04,,17.97,,1.63,24.99
2002-06-05,,17.99,,1.62,25.83
2002-06-06,,18.17,,1.58,25.95
2002-06-07,,18.58,,1.53,25.99
2002-06-10,,17.3,,1.53,26.41
2002-06-11,,17.14,,1.46,26.28
2002-06-12,,17.08,,1.44,27.77
2002-06-13,,17.43,,1.4,27.11
2002-06-14,,16.82,,1.44,27.62
2002-06-17,,18.41,,1.47,27.84
2002-06-18,,18.78,,1.44,28.0
2002-06-19,,18.3,,1.22,27.18
2002-06-20,,17.55,,1.22,27.05
2002-06-21,,17.53,,1.2,26.14
2002-06-24,,17.51,,1.23,27.08
2002-06-25,,15.34,,1.22,26.48
2002-06-26,,15.85,,1.18,27.06
2002-06-27,,15.86,,1.22,27.46
2002-06-28,,16.25,,1.27,27.35
2002-07-01,,13.55,,1.22,26.33
2002-07-02,,13.32,,1.21,25.72
2002-07-03,,14.25,,1.25,26.24
2002-07-05,,15.21,,1.34,27.42
2002-07-08,,14.94,,1.29,26.46
